nlevels,reps,treatment_code,propagule_id_new,leaf_mass,stem_mass,propagule_mass
10,1,10_1,M1,91,23,114
10,1,10_1,M2,38,23,61
10,1,10_1,M3,49,33,82
10,1,10_1,M4,44,77,121
10,1,10_1,M5,25,83,108
10,1,10_1,M6,35,95,130
10,1,10_1,M7,45,85,130
10,1,10_1,M8,13,86,99
10,1,10_1,M9,51,113,164
10,1,10_1,M10,12,78,90
10,1,10_1,M11,13,60,73
10,1,10_1,M12,0,107,107
10,1,10_1,M13,0,84,84
10,1,10_1,M14,0,116,116
10,1,10_1,B1,2,8,10
10,1,10_1,B2,4,11,15
10,1,10_1,B3,50,14,64
10,1,10_1,B4,17,18,35
10,1,10_1,B5,11,27,38
10,1,10_1,B6,8,27,35
10,1,10_1,B7,4,1,5
10,1,10_1,B8,1,1,2
10,1,10_1,B9,1,1,2
10,1,10_1,B10,23,1,24
10,1,10_1,B11,14,3,17
10,1,10_1,B12,8,14,22
10,1,10_1,B13,1,23,24
10,1,10_1,B14,1,25,26
20,1,20_1,M1,62,1,63
20,1,20_1,M2,36,1,37
20,1,20_1,M3,43,10,53
20,1,20_1,M4,34,29,63
20,1,20_1,M5,49,62,111
20,1,20_1,M6,48,77,125
20,1,20_1,M7,41,86,127
20,1,20_1,M8,34,74,108
20,1,20_1,M9,8,76,84
20,1,20_1,M10,11,70,81
20,1,20_1,M11,0,75,75
20,1,20_1,M12,0,110,110
20,1,20_1,M13,0,92,92
20,1,20_1,M14,0,138,138
20,1,20_1,B1,2,1,3
20,1,20_1,B2,19,5,24
20,1,20_1,B3,13,6,19
20,1,20_1,B4,1,22,23
20,1,20_1,B5,5,1,6
20,1,20_1,B6,68,23,91
20,1,20_1,B7,24,28,52
20,1,20_1,B8,11,35,46
20,1,20_1,B9,1,28,29
20,1,20_1,B10,61,5,66
20,1,20_1,B11,22,24,46
20,1,20_1,B12,18,49,67
20,1,20_1,B13,11,61,72
20,1,20_1,B14,1,59,60
20,1,20_1,B15,1,6,7
20,1,20_1,B16,0,15,15
20,1,20_1,B17,0,9,9
20,1,20_1,B18,0,12,12
40,1,40_1,M1,41,15,56
40,1,40_1,M2,49,38,87
40,1,40_1,M3,42,68,110
40,1,40_1,M4,42,103,145
40,1,40_1,M5,43,98,141
40,1,40_1,M6,42,86,128
40,1,40_1,M7,41,74,115
40,1,40_1,M8,36,63,99
40,1,40_1,M9,6,61,67
40,1,40_1,M10,28,63,91
40,1,40_1,M11,0,58,58
40,1,40_1,M12,0,50,50
40,1,40_1,M13,0,94,94
40,1,40_1,B1,10,1,11
40,1,40_1,B2,1,1,2
40,1,40_1,B3,12,1,13
40,1,40_1,B4,3,1,4
40,1,40_1,B5,24,8,32
40,1,40_1,B6,10,17,27
40,1,40_1,B7,13,24,37
40,1,40_1,B8,6,22,28
40,1,40_1,B9,57,1,58
40,1,40_1,B10,25,6,31
40,1,40_1,B11,20,18,38
40,1,40_1,B12,11,25,36
40,1,40_1,B13,1,25,26
40,1,40_1,B14,28,8,36
40,1,40_1,B15,20,22,42
40,1,40_1,B16,9,27,36
40,1,40_1,B17,1,23,24
40,1,40_1,B18,6,1,7
40,1,40_1,B19,1,1,2
60,1,60_1,M1,66,5,71
60,1,60_1,M2,42,6,48
60,1,60_1,M3,46,13,59
60,1,60_1,M4,43,29,72
60,1,60_1,M5,37,60,97
60,1,60_1,M6,35,80,115
60,1,60_1,M7,37,110,147
60,1,60_1,M8,39,108,147
60,1,60_1,M9,47,95,142
60,1,60_1,M10,47,105,152
60,1,60_1,M11,31,100,131
60,1,60_1,M12,13,79,92
60,1,60_1,M13,8,9,17
60,1,60_1,M14,0,61,61
