htime0,htime,nlevel0,nlevel,rep,stemlen,leafnum,propagule_num,rootlen,leafarea,tmass,leafmass,stemmass,rootmass,shootmass,mean_propagule_mass,ratio
day30,30,n10,10,2,20.9,16,7,22.211,9.48,96.2,37.4,53.5,5.3,90.9,12.98571429,0.06
day30,30,n10,10,3,22,18,8,37.863,6.31,103.2,36.5,57.9,8.8,94.4,11.8,0.09
day30,30,n10,10,4,39.6,26,14,337.986,34.41,393.8,137.2,211,45.6,348.2,24.87142857,0.13
day30,30,n10,10,5,46.4,31,15,319.824,46.31,518.4,182.4,274.5,61.5,456.9,30.46,0.13
day30,30,n20,20,2,26,17,11,47.271,15.73,153.9,59.7,85.2,9,144.9,13.17272727,0.06
day30,30,n20,20,3,30.8,21,12,57.92,16.56,185,70.3,99.6,15.1,169.9,14.15833333,0.09
day30,30,n20,20,4,43.8,33,13,259.635,47.44,502,193.2,264.3,44.5,457.5,35.19230769,0.1
day30,30,n20,20,5,73.9,66,28,589.491,68.95,749.2,271.9,406,71.3,677.9,24.21071429,0.11
day30,30,n40,40,2,20.8,16,9,3.441,4.07,77.8,20.6,56.2,1,76.8,8.533333333,0.01
day30,30,n40,40,3,37.6,21,14,44.633,19.64,188.2,72.1,104.3,11.8,176.4,12.6,0.07
day30,30,n40,40,4,40.8,31,12,151.529,37.34,413.3,168.9,214.3,30.1,383.2,31.93333333,0.08
day30,30,n40,40,5,55.1,46,18,312.224,42.97,419.5,169.4,220.1,30,389.5,21.63888889,0.08
day30,30,n60,60,2,37.7,27,14,96.527,31.53,343.8,151.5,172.5,19.8,324,23.14285714,0.06
day30,30,n60,60,3,14,11,6,113.899,35.3,362,152.6,181.2,28.2,333.8,55.63333333,0.08
day30,30,n60,60,4,44.1,40,17,70.508,33.84,378.3,159.7,193.3,25.3,353,20.76470588,0.07
day30,30,n60,60,5,103.9,92,34,403.198,94.64,953.7,418.3,456.2,79.2,874.5,25.72058824,0.09
day45,45,n10,10,2,31.2,18,13,348.837,21.52,225.2,80.2,118.5,26.5,198.7,15.28461538,0.13
day45,45,n10,10,3,94.6,74,31,706.492,70.48,741.6,248.1,393.6,99.9,641.7,20.7,0.16
day45,45,n10,10,4,99.6,68,34,457.849,81.15,1046.4,350,613.3,83.1,963.3,28.33235294,0.09
day45,45,n10,10,5,136.2,88,34,1259.901,117.98,1833.5,485.8,1131.3,216.4,1617.1,47.56176471,0.13
day45,45,n20,20,2,110.2,118,36,621.792,99.46,725.7,372.1,304.9,48.7,677,18.80555556,0.07
day45,45,n20,20,3,175.2,132,51,853.15,150.43,1577.6,615.4,845.3,116.9,1460.7,28.64117647,0.08
day45,45,n20,20,4,174.5,90,41,1175.578,182.96,1712.2,641.5,932.8,137.9,1574.3,38.39756098,0.09
day45,45,n20,20,5,274.1,168,59,1161.301,233.22,3325.9,1068.8,1903.9,353.2,2972.7,50.38474576,0.12
day45,45,n40,40,2,112.5,76,31,619.383,94.99,759,317.5,372,69.5,689.5,22.24193548,0.1
day45,45,n40,40,3,132.3,80,39,529.519,91.12,797,352.4,420.5,24.1,772.9,19.81794872,0.03
day45,45,n40,40,4,146.1,102,43,513.692,129.05,1112.3,467.7,562,82.6,1029.7,23.94651163,0.08
day45,45,n40,40,5,197.8,130,43,1245.828,194.71,2248.2,794,1177.9,276.3,1971.9,45.85813953,0.14
