"model_name","reps","nlevels","propagule_mean.mass","propagule_num","mean/meanlog/shape_mean","sd/sdlog/rate/scale_mean","mean/meanlog/shape_se","sd/sdlog/rate/scale_se","out_chiq","out_chiqpvalue","out_cvm","out_cvmtest","out_ks","out_kestest","out_aic","out_bic"
"gamma","1","10","64.2142857142857","28","1.19432148459782","0.0186035125689485","0.284330325868728","0.00545119793273533","11.0880548134668","0.025592021931424","0.114929756824219","not rejected","0.14816925568168","not computed","292.56355648999","295.227965510341"
"lnorm","1","10","64.2142857142857","28","3.68790237061287","1.20233918315886","0.227220747825912","0.160668831500018","17.6355661195719","0.00145378072324544","0.175120736253484","not computed","0.173216591133729","not computed","300.302153417374","302.966562437725"
"weibull","1","10","64.2142857142857","28","1.19794173974079","67.8269285356859","0.190746617158727","11.1997299628924","10.6268333620707","0.0310940225206287","0.114559259393518","not rejected","0.143562051827782","not computed","291.886151704899","294.550560725249"
"norm","1","10","64.2142857142857","28","64.2142857142857","46.722858540591","8.82979082795535","6.24360497090601","11.4632093787393","0.0218229930950412","0.136738753718087","not computed","0.176907095357877","not computed","298.737635044665","301.402044065016"
"gamma","1","20","59.8125","32","1.6061960400506","0.0268529957193547","0.366492565740657","0.00716651187030779","3.55685846604713","0.313462296658891","0.118436099078995","not rejected","0.13751606776202","not rejected","326.053336834949","328.984808640549"
"lnorm","1","20","59.8125","32","3.74876276492398","0.98038265418856","0.173308805753225","0.12254725801984","5.63361539404829","0.130861800381453","0.224344671423511","not computed","0.188718689888647","not rejected","333.464894595701","336.396366401301"
"weibull","1","20","59.8125","32","1.45142628496465","65.5485435934091","0.214780840011016","8.3587610022004","3.89784664025231","0.272708225754","0.0866774228317632","not rejected","0.116269952988745","not rejected","324.389527284833","327.320999090432"
"norm","1","20","59.8125","32","59.8125","38.6978984410006","6.84088795700149","4.83723745949894","2.61964382046643","0.4540561343862","0.0478108900874135","not computed","0.103880901399816","not rejected","328.78232498661","331.71379679221"
"gamma","1","40","54.09375","32","1.30743519672617","0.024175125407471","0.293689991748972","0.00657593968523762","2.98594013797766","0.393798014109197","0.0642039843077498","not rejected","0.117775758681681","not rejected","322.085370085306","325.016841890906"
"lnorm","1","40","54.09375","32","3.56197065139088","1.11612875522486","0.197305552893244","0.139515590441551","3.27931433562537","0.350532096585537","0.172672902263834","not computed","0.177933745555925","not rejected","329.809626493768","332.741098299367"
"weibull","1","40","54.09375","32","1.23472340461505","57.70561795215","0.177134461856822","8.66899151311723","3.28366578991984","0.349922540669081","0.0556767786942794","not rejected","0.0996630243997699","not rejected","321.440181208591","324.371653014191"
"norm","1","40","54.09375","32","54.09375","41.0398886564949","7.25489446636789","5.12998555359396","6.77942178857629","0.079270751945641","0.198670092716209","not computed","0.183775926180354","not rejected","332.542913344969","335.474385150568"
"gamma","1","60","63.3934426229508","61","2.18086519422511","0.0344011928064211","0.367902677016055","0.00651648988279823","9.85863388240445","0.130732882469658","0.164592967866275","rejected","0.113208417474268","not rejected","614.899297591394","619.12104531974"
